INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2022,TURMA_2022,INDE_2022,PEDRA_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,IPP_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022
,ALUNO-255,"0,00",Z,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","9,10","7,50","8,36","6,00",Não,"8,00","10,00"
,ALUNO-256,"1,00",D,"8,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,41","9,58","7,50","7,50","6,25",Não,"7,33","10,00"
,ALUNO-257,"2,00",M,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,50","8,58","7,50","8,50","6,45",Não,"6,61","5,00"
,ALUNO-258,"0,00",N,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,91","5,70","4,38","5,66","5,00",Não,"6,41","5,00"
Rede Decisão/União,ALUNO-259,,,,,,,,,,,,,,,
,ALUNO-260,"0,00",L,"7,50",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","8,60","7,50","7,50","6,25",Não,"7,83","5,00"
Escola Pública,ALUNO-261,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-262,"7,00",A,"7,00",Ametista,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,70","5,24","6,25","6,84","7,81",Não,"6,77","10,00"
Rede Decisão/União,ALUNO-263,"7,00",A,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","0,00","7,94","5,63","5,57","8,00",Não,"7,55","10,00"
,ALUNO-264,"1,00",D,"7,00",Ametista,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","1,00","6,77","7,50","6,75","6,25",Não,"7,28","5,00"
Escola Pública,ALUNO-265,,,,,,,,,,,,,,,
Escola Pública,ALUNO-266,"2,00",D,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","8,13","5,63","7,00","6,66",Sim,"8,39","10,00"
Rede Decisão/União,ALUNO-267,"4,00",P,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,10","9,70","5,63","7,86","7,30",Não,"7,83","5,00"
,ALUNO-268,"0,00",B,"8,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","10,00","6,88","7,25","6,00",Sim,"9,50","5,00"
Escola Pública,ALUNO-269,,,,,,,,,,,,,,,
Escola Pública,ALUNO-270,,,,,,,,,,,,,,,
,ALUNO-271,,,,,,,,,,,,,,,
,ALUNO-272,"1,00",D,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","10,00","5,00","6,00","6,25",Não,"7,50","10,00"
Escola Pública,ALUNO-273,"1,00",B,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,50","6,77","7,50","5,66","5,83",Não,"7,55","5,00"
Escola Pública,ALUNO-274,,,,,,,,,,,,,,,
Escola Pública,ALUNO-275,"4,00",L,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,30","6,10","6,25","3,96","7,30",Não,"6,83","5,00"
,ALUNO-276,"0,00",D,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,50","9,00","8,13","8,25","5,00",Não,"8,00","5,00"
Escola Pública,ALUNO-277,"1,00",J,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,00","8,62","6,88","8,25","6,04",Não,"7,94","2,50"
Escola Pública,ALUNO-278,,,,,,,,,,,,,,,
,ALUNO-279,"3,00",N,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,50","7,02","5,00","4,05","6,56",Não,"5,88","5,00"
Escola Pública,ALUNO-280,,,,,,,,,,,,,,,
,ALUNO-281,"1,00",N,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","9,00","7,50","6,75","6,04",Não,"7,72","5,00"
,ALUNO-282,"6,00",A,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,10","7,86","6,88","8,64","8,60",Sim,"9,11","5,00"
,ALUNO-283,"6,00",A,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,30","8,31","8,75","6,88","7,90",Sim,"9,66","5,00"
Escola Pública,ALUNO-284,,,,,,,,,,,,,,,
Escola Pública,ALUNO-285,,,,,,,,,,,,,,,
Escola Pública,ALUNO-286,,,,,,,,,,,,,,,
Escola Pública,ALUNO-287,,,,,,,,,,,,,,,
Escola Pública,ALUNO-288,"4,00",A,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","7,90","8,72","7,50","7,33","8,00",Não,"7,70","10,00"
,ALUNO-289,"1,00",P,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,50","8,01","6,88","7,33","6,04",Não,"7,38","5,00"
,ALUNO-290,"2,00",M,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,00","8,11","7,50","4,50","6,45",Não,"6,77","10,00"
,ALUNO-291,"2,00",F,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","1,00","10,00","6,88","2,00","6,45",Não,"7,05","5,00"
Escola Pública,ALUNO-292,"6,00",A,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,60","8,75","10,00","7,96","8,75",Sim,"1,00","5,00"
Escola Pública,ALUNO-293,"5,00",F,"3,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,10","2,68","5,00","7,22","5,31",Não,"4,62","5,00"
,ALUNO-294,"0,00",O,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","9,30","5,63","8,00","5,00",Sim,"8,67","10,00"
Escola Pública,ALUNO-295,"2,00",B,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","8,16","7,50","6,50","6,04",Não,"7,66","10,00"
Escola Pública,ALUNO-296,"2,00",A,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","1,00","6,99","7,50","5,25","6,25",Não,"7,49","5,00"
Escola Pública,ALUNO-297,,,,,,,,,,,,,,,
Escola Pública,ALUNO-298,"1,00",H,"5,00",Quartzo,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,00","8,50","5,00","4,25","4,00",Não,"4,50","2,50"
Estácio,ALUNO-299,,,,,,,,,,,,,,,
UNISA,ALUNO-300,,,,,,,,,,,,,,,
Escola Pública,ALUNO-301,"2,00",P,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","7,91","7,50","8,00","7,00",Não,"8,33","10,00"
,ALUNO-302,"0,00",M,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","8,27","7,50","7,03","6,00",Não,"7,50","10,00"
,ALUNO-303,,,,,,,,,,,,,,,
,ALUNO-304,"0,00",V,"7,00",Ametista,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","7,40","7,50","6,26","5,93",Sim,"9,42","5,00"
Rede Decisão/União,ALUNO-305,"4,00",P,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,91","8,30","6,25","5,94","7,30",Não,"7,08","5,00"
Escola Pública,ALUNO-306,,,,,,,,,,,,,,,
,ALUNO-307,"3,00",N,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","5,40","5,36","5,00","5,33","7,18",Não,"5,99","10,00"
,ALUNO-308,"0,00",K,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","9,00","7,50","9,51","6,00",Sim,"8,42","5,00"
Escola Pública,ALUNO-309,,,,,,,,,,,,,,,
,ALUNO-310,,,,,,,,,,,,,,,
,ALUNO-311,"0,00",A,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,50","8,51","8,13","8,81","5,00",Não,"6,75","5,00"
Escola Pública,ALUNO-312,"3,00",M,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,10","8,19","5,00","6,77","7,30",Não,"6,71","10,00"
Escola Pública,ALUNO-313,"1,00",J,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,50","8,74","5,00","6,83","5,41",Não,"7,33","5,00"
,ALUNO-314,"2,00",L,"6,40",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","6,40","8,67","5,63","4,66","6,25",Não,"7,05","5,00"
Escola Pública,ALUNO-315,,,,,,,,,,,,,,,
Escola Pública,ALUNO-316,"3,00",N,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","6,70","5,09","7,50","3,00","6,25",Não,"5,05","10,00"
,ALUNO-317,"0,00",U,"7,00",Ametista,"Melhorar: Melhorar a sua entrega de lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,50","6,99","7,50","7,58","6,00",Sim,"8,67","5,00"
Escola Pública,ALUNO-318,,,,,,,,,,,,,,,
Escola Pública,ALUNO-319,,,,,,,,,,,,,,,
,ALUNO-320,"2,00",P,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","8,22","7,50","7,50","7,00",Não,"8,22","10,00"
Escola Pública,ALUNO-321,,,,,,,,,,,,,,,
,ALUNO-322,"1,00",L,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,50","7,22","7,50","3,66","5,83",Não,"6,94","5,00"
Rede Decisão/União,ALUNO-323,"1,00",B,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","6,90","9,21","5,00","5,08","6,04",Não,"5,83","5,00"
Escola Pública,ALUNO-324,,,,,,,,,,,,,,,
,ALUNO-325,"0,00",N,"3,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","0,00","4,30","4,38","1,66","5,00",Não,"6,33","5,00"
,ALUNO-326,"0,00",Z,"8,10",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,50","8,92","7,50","9,45","6,00",Sim,"9,08","5,00"
,ALUNO-327,"0,00",Y,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,50","9,00","7,50","9,15","6,25",Sim,"8,41","10,00"
Escola Pública,ALUNO-328,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-329,,,,,,,,,,,,,,,
Escola Pública,ALUNO-330,"3,00",G,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,30","8,57","7,50","6,61","8,00",Não,"8,00","10,00"
,ALUNO-331,"1,00",K,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,50","10,00","5,63","9,25","6,04",Não,"8,27","10,00"
Escola Pública,ALUNO-332,"2,00",F,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,50","10,00","7,50","8,75","6,66",Não,"8,16","10,00"
,ALUNO-333,"0,00",Z,"7,00",Ametista,"Melhorar: Melhorar a sua entrega de lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","1,00","7,13","5,63","7,68","5,31",Não,"7,33","10,00"
,ALUNO-334,"0,00",Y,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","0,00","5,00","8,13","5,90","5,93",Não,"8,33","10,00"
Escola Pública,ALUNO-335,,,,,,,,,,,,,,,
,ALUNO-336,"0,00",B,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","8,21","7,50","6,25","6,00",Não,"7,83","5,00"
Rede Decisão/União,ALUNO-337,"6,00",A,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","0,00","7,58","8,13","7,98","8,75",Sim,"9,11","5,00"
Escola Pública,ALUNO-338,,,,,,,,,,,,,,,
Escola Pública,ALUNO-339,,,,,,,,,,,,,,,
Escola Pública,ALUNO-340,"5,00",C,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,30","6,07","7,50","2,49","7,00",Não,"6,16","5,00"
FIAP,ALUNO-341,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-342,"3,00",A,"7,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","0,00","8,82","4,38","6,27","8,75",Sim,"8,45","10,00"
Escola Pública,ALUNO-343,,,,,,,,,,,,,,,
Escola Pública,ALUNO-344,,,,,,,,,,,,,,,
Escola Pública,ALUNO-345,"1,00",J,"5,70",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,00","7,04","7,50","1,33","5,41",Não,"6,77","5,00"
Escola Pública,ALUNO-346,,,,,,,,,,,,,,,
,ALUNO-347,"0,00",F,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","1,00","8,57","5,00","6,83","4,06",Não,"6,99","10,00"
Escola Pública,ALUNO-348,"1,00",J,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,50","8,81","7,50","3,66","6,04",Não,"6,94","5,00"
Escola Pública,ALUNO-349,,,,,,,,,,,,,,,
,ALUNO-350,"0,00",K,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,50","8,60","7,50","9,06","6,00",Sim,"8,42","10,00"
,ALUNO-351,"2,00",F,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,00","10,00","5,00","7,75","6,45",Não,"7,83","10,00"
,ALUNO-352,"4,00",F,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,70","6,77","7,50","4,66","7,18",Não,"7,37","5,00"
Escola Pública,ALUNO-353,,,,,,,,,,,,,,,
Escola Pública,ALUNO-354,,,,,,,,,,,,,,,
Escola Pública,ALUNO-355,,,,,,,,,,,,,,,
,ALUNO-356,"0,00",K,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","1,00","5,83","4,38","7,91","5,31",Não,"6,91","5,00"
,ALUNO-357,"3,00",K,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,10","5,69","7,50","5,11","7,50",Não,"6,41","5,00"
,ALUNO-358,"7,00",D,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,90","8,33","5,00","3,50","7,00",Não,"6,33","5,00"
Escola Pública,ALUNO-359,"3,00",I,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,30","7,70","7,50","6,94","8,30",Não,"7,91","10,00"
,ALUNO-360,"3,00",L,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","6,70","5,08","5,63","3,83","7,30",Não,"5,96","10,00"
Escola Pública,ALUNO-361,,,,,,,,,,,,,,,
,ALUNO-362,"3,00",A,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","7,50","9,17","7,50","6,11","8,30",Não,"8,04","10,00"
,ALUNO-363,"0,00",G,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","1,00","8,73","7,50","7,83","4,06",Não,"7,24","5,00"
Escola Pública,ALUNO-364,"2,00",A,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,41","6,86","4,38","5,00","6,04",Não,"5,80","10,00"
Rede Decisão/União,ALUNO-365,"7,00",A,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,70","4,50","5,63","5,01","6,00",Não,"5,27","10,00"
,ALUNO-366,"3,00",M,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","5,40","6,85","6,25","3,05","7,30",Não,"5,87","5,00"
Escola Pública,ALUNO-367,,,,,,,,,,,,,,,
UNISA,ALUNO-368,,,,,,,,,,,,,,,
,ALUNO-369,"5,00",B,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,70","7,60","7,50","5,00","5,41",Não,"6,49","5,00"
Escola Pública,ALUNO-370,"4,00",F,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,30","7,78","5,63","8,55","8,00",Sim,"8,58","5,00"
Rede Decisão/União,ALUNO-371,,,,,,,,,,,,,,,
Escola Pública,ALUNO-372,,,,,,,,,,,,,,,
Escola Pública,ALUNO-373,"5,00",C,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,70","6,64","5,00","2,91","7,00",Não,"6,11","5,00"
,ALUNO-374,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-375,"3,00",B,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,10","8,89","5,63","6,68","8,60",Sim,"8,50","10,00"
,ALUNO-376,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-377,"3,00",F,"6,90",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,10","8,08","5,00","4,72","7,70",Não,"7,04","10,00"
Rede Decisão/União,ALUNO-378,"7,00",A,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,90","8,64","5,63","5,18","8,30",Não,"7,38","10,00"
Escola Pública,ALUNO-379,,,,,,,,,,,,,,,
FIAP,ALUNO-380,,,,,,,,,,,,,,,
Escola Pública,ALUNO-381,"0,00",G,"6,00",Ágata,"Melhorar: Melhorar a sua entrega de lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,00","6,89","5,63","8,00","6,00",Não,"7,25","5,00"
FIAP,ALUNO-382,,,,,,,,,,,,,,,
Escola Pública,ALUNO-383,,,,,,,,,,,,,,,
,ALUNO-384,,,,,,,,,,,,,,,
Escola Pública,ALUNO-385,,,,,,,,,,,,,,,
,ALUNO-386,"0,00",G,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,50","9,00","4,38","4,91","6,00",Não,"7,92","5,00"
Escola Pública,ALUNO-387,"4,00",P,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","7,50","5,12","6,25","3,22","6,56",Não,"4,79","5,00"
Escola Pública,ALUNO-388,"2,00",A,"6,00",Ágata,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,50","8,75","7,50","2,50","5,83",Não,"7,05","5,00"
Escola Pública,ALUNO-389,,,,,,,,,,,,,,,
Escola Pública,ALUNO-390,,,,,,,,,,,,,,,
,ALUNO-391,"0,00",J,"8,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,50","9,24","5,63","9,00","6,00",Sim,"9,17","5,00"
,ALUNO-392,"0,00",J,"7,20",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","8,50","8,09","5,63","5,66","6,00",Não,"7,49","10,00"
Escola Pública,ALUNO-393,,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-394,"4,00",F,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","7,50","8,89","5,00","7,26","7,60",Não,"7,79","2,50"
,ALUNO-395,"3,00",L,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,10","4,07","7,50","2,77","6,25",Não,"5,74","2,50"
